Title,House,Year,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase
Night Crossing (1982).srt,Disney Live Action,1980,1308,3.87,4.39,5.17
One Magic Christmas (1985).srt,Disney Live Action,1980,1094,3.75,5.08,4.84
Popeye.1980.srt,Disney Live Action,1980,1269,3.75,4.06,5.18
Return to Snowy River (1988).srt,Disney Live Action,1980,823,3.89,5.15,4.86
Return.to.Oz.1985.srt,Disney Live Action,1980,1123,3.87,4.86,5.11
"Something Wicked This Way Comes,1983.srt",Disney Live Action,1980,675,3.8,6.88,5.05
Tex.1982.srt,Disney Live Action,1980,1533,3.69,5.64,4.64
The Devil and Max Devlin 1981.srt,Disney Live Action,1980,1912,3.74,4.67,4.68
The Watcher In The Woods.1980.srt,Disney Live Action,1980,945,3.85,4.73,4.98
The.Journey.of.Natty.Gann[1985]DVDrip.XViD[Eng] - BLIPOa - EN.srt,Disney Live Action,1980,1181,3.54,3.76,4.83
The.Last.Flight.of.Noahs.Ark.1980.1080i.HDTV.H.264.DD2.0-Irishman.srt,Disney Live Action,1980,1419,3.76,4.78,4.91
101 dalmatians 1996.srt,Disney Live Action,1990,1170,3.91,4.48,5.11
A Far Off Place 1993.srt,Disney Live Action,1990,790,3.79,4.66,4.89
A Kid In King Arthurs Court 1995.srt,Disney Live Action,1990,1512,3.89,3.78,4.87
Air Bud 1997.srt,Disney Live Action,1990,1642,3.73,3.1,4.76
Air Bud 2 Golden Receiver 1998.srt,Disney Live Action,1990,1392,4.1,3.8,4.95
Angels In The Outfield 1994.srt,Disney Live Action,1990,2101,3.82,5.54,3.76
Blank Check 1994.srt,Disney Live Action,1990,2076,3.72,4.25,5.08
Cool Runnings 1993.srt,Disney Live Action,1990,1752,3.82,4.84,4.93
D2 The Mighty Ducks 1994.srt,Disney Live Action,1990,2315,3.92,4.21,5.12
D3 The Mighty Ducks 1996.srt,Disney Live Action,1990,2225,3.84,4.51,4.41
First Kid 1996.srt,Disney Live Action,1990,2845,3.61,4.02,4.58
Flubber 1997.srt,Disney Live Action,1990,1812,3.99,3.59,4.36
George of the Jungle 1997.srt,Disney Live Action,1990,799,4.39,5.02,5.1
Heavyweights 1995.srt,Disney Live Action,1990,2093,3.78,4.2,4.78
Hocus Pocus 1993.srt,Disney Live Action,1990,2064,3.83,3.43,5.2
Home For Christmas 1998.srt,Disney Live Action,1990,1745,3.94,5.06,4.84
Homeward Bound 2 Lost In San Francisco 1996.srt,Disney Live Action,1990,2699,3.71,3.81,4.79
Homeward Bound The Incredible Journey 1993.srt,Disney Live Action,1990,1929,3.73,3.89,5.15
Honey I Blew Up the Kids 1992.srt,Disney Live Action,1990,1572,3.91,4.79,5.09
I'll be Home for Christmas 1998.srt,Disney Live Action,1990,1226,3.75,5.11,4.96
Inspector Gadget 1999.srt,Disney Live Action,1990,1487,3.91,4.15,5.21
Iron Will 1994.srt,Disney Live Action,1990,1388,3.74,4.4,5.05
Jungle 2 Jungle 1997.srt,Disney Live Action,1990,2123,3.78,4.61,4.83
Man of the House 1995.srt,Disney Live Action,1990,1970,3.8,5.32,4.75
Mighty Joe Young 1998.srt,Disney Live Action,1990,1494,3.75,4.49,4.91
Mr Magoo 1997.srt,Disney Live Action,1990,1271,3.84,4.56,4.92
Muppet Treasure Island 1996.srt,Disney Live Action,1990,2120,3.98,4.33,4.99
My Favorite Martian 1999.srt,Disney Live Action,1990,2234,3.91,3.94,5.04
Newsies 1992.srt,Disney Live Action,1990,2158,3.81,4.77,4.91
Operation Dumbo Drop 1995.srt,Disney Live Action,1990,1877,3.72,4.2,4.76
RocketMan 1997.srt,Disney Live Action,1990,1565,4.0,4.56,5.3
Squanto A Warriors Tale 1994.txt,Disney Live Action,1990,1002,4.27,4.74,5.26
Tall Tale 1995.srt,Disney Live Action,1990,979,3.82,5.09,4.81
That Darn Cat 1997.srt,Disney Live Action,1990,1869,3.83,4.41,4.81
The Adventures of Huck Finn 1993.srt,Disney Live Action,1990,1796,3.72,4.96,4.94
The Big Green 1995.srt,Disney Live Action,1990,1716,3.74,4.51,4.83
The Jungle Book 1994.srt,Disney Live Action,1990,996,3.94,4.35,5.3
The Mighty Ducks 1992.srt,Disney Live Action,1990,2184,3.93,4.44,4.89
The Muppet Christmas Carol 1992.srt,Disney Live Action,1990,1571,4.0,4.96,4.53
The Parent Trap 1998.srt,Disney Live Action,1990,2536,3.76,4.8,4.81
The Santa Clause 1994.srt,Disney Live Action,1990,2002,3.85,4.41,4.96
The Straight Storys 1999.srt,Disney Live Action,1990,866,3.71,4.91,5.01
The Three Musketeers 1993.srt,Disney Live Action,1990,1142,4.07,4.99,5.27
The.Rocketeer.1991.720p.BluRay.x264-[YTS.AM].srt,Disney Live Action,1990,1420,3.83,4.51,5.05
Tom and Huck 1995.srt,Disney Live Action,1990,1284,3.67,4.52,4.7
Walt Disney's A Far Off Place 1993.srt,Disney Live Action,1990,790,3.79,4.66,4.89
White Fang 1991.srt,Disney Live Action,1990,1089,3.58,4.02,4.77
White Fang 2 1994.srt,Disney Live Action,1990,883,3.8,4.13,4.75
Wild Hearts Cant Be Broken 1991.srt,Disney Live Action,1990,1023,3.76,4.73,4.77
___jamaica.sub,Disney Live Action,1990,1823,4.16,4.92,5.1
102.Dalmatians.2000.srt,Disney Live Action,2000,1925,3.96,3.69,4.84
Around the World in 80 Days (2004).srt,Disney Live Action,2000,1685,4.08,4.43,5.3
Confessions Of A Teenage Drama Queen.2004.sub,Disney Live Action,2000,1517,4.16,5.27,5.11
Eight Below.2006.srt,Disney Live Action,2000,1424,3.74,4.38,4.84
Freaky.Friday.2018 .srt,Disney Live Action,2000,1869,3.74,4.29,5.08
Glory.Road.2006.srt,Disney Live Action,2000,2214,3.91,5.31,4.89
Herbie.Fully.Loaded.2005.srt,Disney Live Action,2000,1472,3.76,4.45,4.86
Holes.2003.srt,Disney Live Action,2000,2542,3.75,4.86,4.77
Ice.Princess.2005.srt,Disney Live Action,2000,1706,3.82,4.8,4.68
Max Keebles Big Move 2001.srt,Disney Live Action,2000,2051,3.89,3.04,4.89
Miracle 2004.srt,Disney Live Action,2000,2149,4.05,5.35,5.06
NATIONAL TREASURE Subtitles Eng NTSC 29.97.srt,Disney Live Action,2000,1729,4.0,4.43,4.85
Pirates of the caribbean - Dead Man's Chest 2006.srt,Disney Live Action,2000,1531,3.9,5.13,4.9
Pirates of the Caribbean 1 Curse of the Black Pearl.srt,Disney Live Action,2000,1651,3.98,5.01,5.32
Princess Diaries.sub,Disney Live Action,2000,2541,4.25,4.33,5.24
remember.the.titans.2000.srt,Disney Live Action,2000,2542,3.66,5.5,4.21
Sky High (2005).srt,Disney Live Action,2000,1950,3.93,4.46,5.2
Snow.Dogs.2002.srt,Disney Live Action,2000,1451,3.77,4.35,5.01
The Country Bears 2002.srt,Disney Live Action,2000,2048,3.6,3.9,4.61
The Greatest Game Ever Played (2005).srt,Disney Live Action,2000,1054,3.92,5.04,4.99
The Haunted Mansion.2003.srt,Disney Live Action,2000,1734,3.79,4.51,5.0
The Kid.2000.srt,Disney Live Action,2000,2126,3.76,4.32,4.94
