Title,House,Decade,Year,Category,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase,Num_Adjectives,Num_Adverbs,Short_Phrases%
The Littlest Horse Thieves,Disney,1970,1976,Live Action,2072,3.74,3.61,4.82,116,442,3.4266409266409266
The Million Dollar Duck,Disney,1970,1971,Live Action,1596,3.85,4.66,5.12,414,565,0.8145363408521302
The North Avenue Irregulars,Disney,1970,1979,Live Action,2606,3.87,3.7,4.8,159,427,5.564082885648503
The Strongest Man in the World,Disney,1970,1975,Live Action,1723,3.91,5.03,5.04,468,744,1.5089959373186304
Treasure Of Matecumbe,Disney,1970,1976,Live Action,1500,3.86,5.29,4.92,408,675,1.4000000000000001
Cheetah,Disney,1980,1989,Live Action,1350,3.86,4.64,5.19,367,558,0.8148148148148148
Condorman,Disney,1980,1981,Live Action,990,3.94,5.04,5.02,268,336,2.2222222222222223
Flight of the Navigator,Disney,1980,1986,Live Action,1071,3.85,5.89,5.03,305,526,0.9337068160597572
Herbie Goes Bananas,Disney,1980,1980,Live Action,1341,3.87,4.46,5.18,316,446,0.9694258016405668
Honey I Shrunk the Kids,Disney,1980,1989,Live Action,1384,3.74,4.48,5.11,280,532,0.1445086705202312
Midnight Madness,Disney,1980,1980,Live Action,1837,3.79,4.21,5.09,396,530,2.4496461622210126
Never Cry Wolf,Disney,1980,1983,Live Action,252,4.32,8.39,4.67,144,136,0.7936507936507936
Night Crossing,Disney,1980,1982,Live Action,1308,3.87,4.39,5.17,362,492,2.293577981651376
One Magic Christmas,Disney,1980,1985,Live Action,1094,3.75,5.08,4.84,247,482,1.1882998171846435
Popeye,Disney,1980,1980,Live Action,1269,3.75,4.06,5.18,300,392,1.260835303388495
Return to Oz,Disney,1980,1985,Live Action,1123,3.87,4.86,5.11,252,452,0.8904719501335707
Return to Snowy River,Disney,1980,1988,Live Action,823,3.89,5.15,4.86,220,366,1.2150668286755772
Something Wicked This Way Comes,Disney,1980,1983,Live Action,675,3.8,6.88,5.05,270,350,0.7407407407407408
Tex,Disney,1980,1982,Live Action,1533,3.69,5.64,4.64,383,783,0.5870841487279843
The Devil and Max Devlin,Disney,1980,1981,Live Action,1746,3.79,5.08,4.81,531,842,0.6872852233676976
The Journey of Natty Gann,Disney,1980,1985,Live Action,1181,3.54,3.76,4.83,223,375,2.5402201524132093
The Last Flight of Noahs Ark,Disney,1980,1980,Live Action,1419,3.76,4.78,4.91,377,559,0.49330514446793516
The Watcher In The Woods,Disney,1980,1980,Live Action,945,3.85,4.73,4.98,179,402,0.6349206349206349
101 Dalmatians,Disney,1990,1996,Live Action,1119,3.94,4.66,5.15,347,387,1.4298480786416443
A Far Off Place,Disney,1990,1993,Live Action,790,3.79,4.66,4.89,143,273,1.6455696202531647
A Kid In King Arthurs Court,Disney,1990,1995,Live Action,1512,3.89,3.78,4.87,101,285,3.3068783068783065
Air Bud 2 Golden Receiver,Disney,1990,1998,Live Action,1390,4.05,3.86,4.82,303,358,4.9640287769784175
Air Bud,Disney,1990,1997,Live Action,1642,3.73,3.1,4.76,51,33,4.6285018270401945
Angels In The Outfield,Disney,1990,1994,Live Action,2101,3.82,5.54,3.76,514,681,2.8081865778200856
Blank Check,Disney,1990,1994,Live Action,2076,3.72,4.25,5.08,427,681,1.3969171483622351
Cool Runnings,Disney,1990,1993,Live Action,1744,3.82,4.86,4.93,472,623,1.662844036697248
D2 The Mighty Ducks,Disney,1990,1994,Live Action,2315,3.92,4.21,5.12,620,613,1.8142548596112311
D3 The Mighty Ducks,Disney,1990,1996,Live Action,2225,3.84,4.51,4.41,569,684,9.662921348314606
First Kid,Disney,1990,1996,Live Action,2604,3.69,4.35,4.71,538,849,4.109062980030722
Flubber,Disney,1990,1997,Live Action,1793,3.99,3.62,4.35,68,58,4.238706079196876
George of the Jungle,Disney,1990,1997,Live Action,820,4.32,4.93,4.96,283,298,4.634146341463414
Heavyweights,Disney,1990,1995,Live Action,2029,3.82,4.35,4.83,489,550,1.7742730409068506
Hocus Pocus,Disney,1990,1993,Live Action,2064,3.83,3.43,5.2,422,532,3.003875968992248
Home For Christmas,Disney,1990,1998,Live Action,1745,3.94,5.06,4.84,480,593,1.3753581661891117
Homeward Bound 2 Lost In San Francisco,Disney,1990,1996,Live Action,2699,3.71,3.81,4.79,547,792,4.371989625787329
Homeward Bound The Incredible Journey,Disney,1990,1993,Live Action,1929,3.73,3.89,5.15,466,703,3.3696215655780195
Honey I Blew Up the Kids,Disney,1990,1992,Live Action,1572,3.91,4.79,5.09,383,551,0.7633587786259541
I'll be Home for Christmas,Disney,1990,1998,Live Action,1226,3.75,5.11,4.96,392,429,1.0603588907014683
Inspector Gadget,Disney,1990,1999,Live Action,1456,3.92,4.23,5.19,354,460,1.510989010989011
Iron Will,Disney,1990,1994,Live Action,1388,3.74,4.4,5.05,301,480,0.5043227665706052
Jungle 2 Jungle,Disney,1990,1997,Live Action,2020,3.81,4.83,4.82,402,747,1.7326732673267329
Man of the House,Disney,1990,1995,Live Action,1905,3.82,5.49,4.72,605,879,0.7349081364829396
Mighty Joe Young,Disney,1990,1998,Live Action,1494,3.75,4.49,4.91,355,515,1.6733601070950468
Mr Magoo,Disney,1990,1997,Live Action,1252,3.85,4.62,4.92,304,416,1.1182108626198082
Muppet Treasure Island,Disney,1990,1996,Live Action,2120,3.98,4.33,4.99,504,582,3.207547169811321
My Favorite Martian,Disney,1990,1999,Live Action,2234,3.91,3.94,5.04,537,619,6.177260519247986
Newsies,Disney,1990,1992,Live Action,2158,3.81,4.77,4.91,563,735,0.5560704355885079
Operation Dumbo Drop,Disney,1990,1995,Live Action,1741,3.77,4.51,4.84,432,594,1.9529006318207927
RocketMan,Disney,1990,1997,Live Action,1565,4.0,4.56,5.3,438,504,0.9584664536741214
Squanto A Warriors Tale,Disney,1990,1994,Live Action,1021,4.04,5.08,4.89,227,273,1.3712047012732616
Tall Tale,Disney,1990,1995,Live Action,979,3.82,5.09,4.81,223,383,1.1235955056179776
That Darn Cat,Disney,1990,1997,Live Action,1869,3.83,4.41,4.81,444,579,3.6383092562867843
The Adventures of Huck Finn,Disney,1990,1993,Live Action,1796,3.72,4.96,4.94,532,764,0.6681514476614699
The Big Green,Disney,1990,1995,Live Action,1716,3.74,4.51,4.83,450,597,0.8741258741258742
The Jungle Book,Disney,1990,1994,Live Action,996,3.94,4.35,5.3,206,299,2.108433734939759
The Mighty Ducks,Disney,1990,1992,Live Action,2184,3.93,4.44,4.89,488,585,2.2893772893772892
The Muppet Christmas Carol,Disney,1990,1992,Live Action,1367,4.01,5.89,4.7,436,426,1.3167520117044622
The Parent Trap,Disney,1990,1998,Live Action,2474,3.79,4.94,4.85,607,1025,2.506063055780113
The Rocketeer,Disney,1990,1991,Live Action,1420,3.83,4.51,5.05,321,376,2.0422535211267605
The Santa Clause,Disney,1990,1994,Live Action,2002,3.85,4.41,4.96,474,672,0.949050949050949
The Straight Storys,Disney,1990,1999,Live Action,866,3.71,4.91,5.01,248,307,0.9237875288683602
The Three Musketeers,Disney,1990,1993,Live Action,1142,4.07,4.98,5.28,289,378,0.8756567425569177
Tom and Huck,Disney,1990,1995,Live Action,1274,3.67,4.55,4.71,335,465,0.7849293563579277
White Fang 2,Disney,1990,1994,Live Action,883,3.8,4.13,4.75,157,270,1.698754246885617
White Fang,Disney,1990,1991,Live Action,1089,3.58,4.02,4.77,217,360,1.285583103764922
Wild Hearts Cant Be Broken,Disney,1990,1991,Live Action,1023,3.76,4.73,4.77,294,378,1.3685239491691104
102 Dalmatians,Disney,2000,2000,Live Action,1645,4.06,4.23,4.93,438,412,5.167173252279635
Around the World in 80 Days,Disney,2000,2004,Live Action,1685,4.08,4.43,5.3,403,497,1.6023738872403561
