year,ref_color,counts
1990,#FF6347,30
1990,#FF69B4,2
1990,#FF7F50,25
1990,#FF8C00,15
1990,#FFA07A,8
1990,#FFA500,9
1990,#FFB6C1,8
1990,#FFC0CB,8
1990,#FFD700,13
1990,#FFDAB9,18
1990,#FFDEAD,12
1990,#FFE4B5,3
1990,#FFE4C4,4
1990,#FFE4E1,12
1990,#FFEBCD,2
1990,#FFEFD5,1
1990,#FFF0F5,6
1990,#FFF8DC,1
1990,#FFFACD,5
1990,#FFFAF0,1
1990,#FFFAFA,1
1990,#FFFF00,2
1990,#FFFFF0,1
1990,#FFFFFF,5
2000,#000080,13
2000,#00008B,18
2000,#0000CD,20
2000,#006400,14
2000,#008000,5
2000,#008080,116
2000,#008B8B,21
2000,#00BFFF,33
2000,#00CED1,24
2000,#00FA9A,1
2000,#00FF00,3
2000,#00FFFF,4
2000,#191970,113
2000,#1E90FF,13
2000,#20B2AA,30
2000,#228B22,16
2000,#2E8B57,65
2000,#2F4F4F,4478
2000,#32CD32,23
2000,#3CB371,21
2000,#40E0D0,8
2000,#4169E1,37
2000,#4682B4,729
2000,#483D8B,897
2000,#48D1CC,36
2000,#4B0082,3
2000,#556B2F,1061
2000,#5F9EA0,376
2000,#6495ED,162
2000,#663399,36
2000,#66CDAA,26
2000,#696969,4680
2000,#6A5ACD,25
2000,#6B8E23,121
2000,#708090,765
2000,#778899,409
2000,#7B68EE,12
2000,#7FFFD4,1
2000,#800000,347
2000,#800080,17
2000,#808000,73
2000,#808080,1127
2000,#87CEEB,123
2000,#87CEFA,90
2000,#8A2BE2,6
2000,#8B0000,41
2000,#8B008B,1
2000,#8B4513,1431
2000,#8FBC8F,239
2000,#90EE90,37
2000,#9370DB,38
2000,#9400D3,3
2000,#98FB98,3
2000,#9932CC,16
2000,#9ACD32,44
2000,#A0522D,1742
2000,#A52A2A,416
2000,#A9A9A9,680
2000,#ADD8E6,106
2000,#ADFF2F,1
2000,#AFEEEE,71
2000,#B0C4DE,316
2000,#B0E0E6,95
2000,#B22222,132
2000,#B8860B,83
2000,#BA55D3,16
2000,#BC8F8F,1018
2000,#BDB76B,394
2000,#C0C0C0,347
2000,#C71585,14
2000,#CD5C5C,189
2000,#CD853F,442
2000,#D2691E,142
2000,#D2B48C,1174
2000,#D3D3D3,176
2000,#D8BFD8,126
2000,#DA70D6,41
2000,#DAA520,133
2000,#DB7093,95
2000,#DC143C,27
2000,#DCDCDC,167
2000,#DDA0DD,125
2000,#DEB887,369
2000,#E0FFFF,32
2000,#E6E6FA,97
2000,#E9967A,422
2000,#EE82EE,6
2000,#EEE8AA,81
2000,#F08080,34
2000,#F0E68C,167
2000,#F0F8FF,41
2000,#F0FFF0,25
2000,#F0FFFF,8
2000,#F4A460,132
2000,#F5DEB3,130
2000,#F5F5DC,91
2000,#F5F5F5,76
2000,#F5FFFA,8
2000,#F8F8FF,6
2000,#FA8072,18
2000,#FAEBD7,154
2000,#FAF0E6,72
2000,#FAFAD2,25
2000,#FDF5E6,22
2000,#FF0000,2
2000,#FF00FF,3
2000,#FF4500,22
2000,#FF6347,48
2000,#FF69B4,6
2000,#FF7F50,54
2000,#FF8C00,9
2000,#FFA07A,28
2000,#FFA500,13
2000,#FFB6C1,26
2000,#FFC0CB,22
2000,#FFD700,36
2000,#FFDAB9,95
2000,#FFDEAD,43
2000,#FFE4B5,6
2000,#FFE4C4,51
2000,#FFE4E1,42
2000,#FFEBCD,53
2000,#FFEFD5,10
2000,#FFF0F5,13
2000,#FFF5EE,5
2000,#FFF8DC,12
2000,#FFFACD,20
2000,#FFFAF0,15
2000,#FFFAFA,3
2000,#FFFF00,7
2000,#FFFFE0,4
2000,#FFFFF0,4
2000,#FFFFFF,5
2010,#000080,25
2010,#00008B,30
2010,#0000CD,16
2010,#006400,33
2010,#008000,4
2010,#008080,114
2010,#008B8B,31
2010,#00BFFF,82
2010,#00CED1,39
2010,#00FA9A,2
2010,#00FF00,1
2010,#00FF7F,1
2010,#00FFFF,9
2010,#191970,289
2010,#1E90FF,26
2010,#20B2AA,30
2010,#228B22,36
2010,#2E8B57,85
2010,#2F4F4F,4374
2010,#32CD32,35
2010,#3CB371,33
2010,#40E0D0,19
2010,#4169E1,106
2010,#4682B4,1052
2010,#483D8B,1564
2010,#48D1CC,42
2010,#4B0082,20
2010,#556B2F,906
2010,#5F9EA0,232
2010,#6495ED,321
2010,#663399,72
2010,#66CDAA,35
2010,#696969,4821
2010,#6A5ACD,98
2010,#6B8E23,142
2010,#708090,825
2010,#778899,530
2010,#7B68EE,42
2010,#7CFC00,2
2010,#7FFFD4,8
2010,#800000,437
2010,#800080,74
2010,#808000,110
2010,#808080,1115
2010,#87CEEB,176
2010,#87CEFA,164
2010,#8A2BE2,19
2010,#8B0000,64
2010,#8B008B,13
2010,#8B4513,1619
2010,#8FBC8F,179
2010,#90EE90,32
2010,#9370DB,83
2010,#9400D3,4
2010,#98FB98,6
2010,#9932CC,28
2010,#9ACD32,49
2010,#A0522D,2007
2010,#A52A2A,524
2010,#A9A9A9,761
2010,#ADD8E6,155
2010,#ADFF2F,1
2010,#AFEEEE,100
2010,#B0C4DE,551
2010,#B0E0E6,94
2010,#B22222,239
2010,#B8860B,96
2010,#BA55D3,40
2010,#BC8F8F,1182
2010,#BDB76B,292
