,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl,num_words,num_terms,rttr,cttr,mltd
358,The Muppet Christmas Carol,1992,1990,Disney,Live Action,0.38654980784211224,0.4991224092032138,0.14831726089292174,0.20612799707984608,0.5103575800243924,0.8344930280660694,0.40380772907631435,0.22250394859078354,3,6,10,5,0,3,7,3,0.4347603906427436,0.6320272572402045,0.8117789678243388,0.8117789678243392,0.55319920753859
359,The Parent Trap,1998,1990,Disney,Live Action,0.2978938671386183,0.6211041587217996,0.10693420977538648,0.10672121989442263,0.42532218876622474,0.7684084620626365,0.347800197386257,0.1780932703315394,1,5,10,4,0,1,6,2,0.7301839654780832,0.7346678023850085,0.7173928603433527,0.717392860343353,0.5900088936189019
360,The Adventures of Huck Finn,1993,1990,Disney,Live Action,0.27621884787677736,0.673585687964779,0.13502490849573068,0.16009168180930466,0.4365997415795573,0.7786613061487146,0.31022469299280453,0.18587584282672334,1,5,10,4,0,2,6,2,0.5591074267544857,0.6068994889267462,0.6710146477305065,0.671014647730507,0.6171404476282121
361,Air Bud 2 Golden Receiver,1998,1990,Disney,Live Action,0.28084079523098265,0.6926001177447882,0.27751172043618444,0.3424858762551525,0.37770706210780575,0.736741890728988,0.3305539158962203,0.21281423978786135,1,5,13,5,0,1,6,3,0.3218828071769248,0.4373935264054515,0.6310001027969799,0.63100010279698,0.4745270149057016
362,Tall Tale,1995,1990,Disney,Live Action,0.2982177182985206,0.6186651497257962,0.07219751016915121,0.11143189240431095,0.4502938404385086,0.7864455350354101,0.29120825873153455,0.17144171998773713,1,5,8,4,0,2,6,2,0.2978083125141949,0.4680579216354344,0.7132606710110387,0.7132606710110387,0.6259830340645632
363,Mighty Joe Young,1998,1990,Disney,Live Action,0.27181107583378705,0.6380440574407502,0.10461643645671281,0.10804093530063719,0.4120860274198178,0.7487597376691689,0.3265632984271084,0.14746224334336877,1,5,10,4,0,1,6,2,0.4113104701339995,0.49914821124361164,0.6386816486855501,0.6386816486855502,0.49778075435132885
364,Angels In The Outfield,1994,1990,Disney,Live Action,0.27072749762838977,0.6569734303621155,0.12724286701319887,0.16923034617777166,0.43960555903339193,0.7753529034843778,0.30675473580950374,0.16115090711643287,1,5,10,4,0,2,6,2,0.5743811037928686,0.6622657580919932,0.7309761746625286,0.7309761746625287,0.6072600662997955
365,Honey I Blew Up the Kids,1992,1990,Disney,Live Action,0.3271542493521413,0.5471440438281734,0.1280006960807557,0.14263326207295346,0.4593586217008885,0.7882790392965783,0.3617399078478726,0.1615180017566051,2,5,10,4,0,2,6,2,0.46388825800590505,0.5877342419080068,0.7201578180087959,0.7201578180087962,0.6592610577534926
366,A Kid In King Arthurs Court,1995,1990,Disney,Live Action,0.2741459674416851,0.6318876078502611,0.10655427585279897,0.10592026557775436,0.4165233008581849,0.7511904080139323,0.3320479066935841,0.14629517693988014,1,5,10,4,0,1,6,2,0.33159209629797864,0.49105621805792166,0.7092072030354922,0.7092072030354926,0.8347514245232561
367,Hocus Pocus,1993,1990,Disney,Live Action,0.2296508712508229,0.6783231142698991,0.14394357797960255,0.14859246959823225,0.3945368117010593,0.7095981877420026,0.25919783024874954,0.10732408425622365,1,5,10,4,0,0,6,1,0.43356802180331594,0.5604770017035775,0.7087310903936651,0.7087310903936654,0.4597729832348436
368,Mr Magoo,1997,1990,Disney,Live Action,0.2936678872521095,0.6059326128312414,0.1537267551642636,0.16697260066381292,0.41479362172272277,0.7542279781520773,0.34809634563682,0.15714637334509446,1,5,10,4,0,1,6,2,0.34601408130819894,0.5319420783645656,0.7586718773997672,0.7586718773997674,0.6120091142880719
369,The Jungle Book,1994,1990,Disney,Live Action,0.2847845762782314,0.6002634526628894,0.0969842532556916,0.09195648085772279,0.43049563342193997,0.7551186273102096,0.31573092185582463,0.13401955952164776,1,5,10,4,0,1,6,2,0.25584828526004993,0.3901192504258944,0.6301453478210676,0.6301453478210677,0.41507806094380806
370,Flubber,1997,1990,Disney,Live Action,0.3198415281986149,0.53135884846915,0.18390149590856053,0.18460877249683538,0.43188676407208104,0.7537216878052493,0.3558493449733199,0.13419406778788953,2,5,12,4,0,1,6,2,0.3385191914603679,0.5434412265758092,0.7869226506107787,0.7869226506107789,0.5508915081260825
371,The Mighty Ducks,1992,1990,Disney,Live Action,0.2663341909763453,0.6448993315168408,0.11708682516506597,0.11964627353773816,0.43300900455596425,0.7626317065270566,0.31321448349250003,0.14327052729836492,1,5,10,4,0,1,6,2,0.5811946400181695,0.6439522998296423,0.7028673112309708,0.7028673112309711,0.5609197177935004
372,Jungle 2 Jungle,1997,1990,Disney,Live Action,0.27746604138105185,0.6525312938085626,0.20615545500770605,0.22187909735706468,0.36452114053484425,0.722176251128143,0.31520603587422746,0.16922837137429111,1,5,12,5,0,0,6,2,0.5788099023393142,0.6239352640545145,0.6791720995573908,0.6791720995573909,0.33345640639493224
373,I'll be Home for Christmas,1998,1990,Disney,Live Action,0.29542366379235674,0.6524084010065319,0.20098540170700352,0.1828563277976034,0.40946381171606616,0.7598852036858962,0.3477415937718774,0.20243826104019177,1,5,12,4,0,1,6,3,0.38859868271632975,0.5766609880749575,0.7791511556204503,0.7791511556204502,0.725751437362439
374,Wild Hearts Cant Be Broken,1991,1990,Disney,Live Action,0.26442647800806135,0.6590381292038927,0.04843187027308615,0.06219910744241375,0.42445714227864845,0.7609116625875912,0.31811060287207593,0.153355332031081,1,5,8,4,0,1,6,2,0.2831024301612537,0.4067291311754685,0.6242271899317268,0.6242271899317271,0.5806953489158485
375,White Fang 2,1994,1990,Disney,Live Action,0.28186057863234626,0.599231604292402,0.12151595397829507,0.08645789803197768,0.42362485072356276,0.7458622957218068,0.34267819705270597,0.1305600839118904,1,5,10,4,0,1,6,2,0.19969339086986146,0.35562180579216357,0.6511410024451706,0.6511410024451707,0.5582264186808324
