,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl
401,Saludos Amigos,1943,1940,Disney,Animation,0.6126089097462138,0.1681277191283499,0.23409355866827253,0.3283616045081049,0.67574943868595,0.9434082923911696,0.722947380655097,0.3483287894676986,5,7,12,5,4,7,9,5
402,Pete's Dragon,1977,1970,Disney,Animation,0.3418028167847263,0.587209235012637,0.1008838881950862,0.13695666529738382,0.4899288973441909,0.8192955044202674,0.3685001155178914,0.22347132648861281,2,5,10,4,0,3,6,3
403,Bedknobs and Broomsticks,1971,1970,Disney,Animation,0.37668253378552197,0.5114487411564772,0.06942352294083198,0.11997452560515864,0.5139860927372473,0.8372041349703029,0.463049142661357,0.22373295663428264,2,6,8,4,0,4,7,3
404,Fantasia 2000,1999,1990,Disney,Animation,0.5994686193322054,0.20509621792045007,0.19241956173418018,0.29463191591059434,0.6857785227000314,0.9476081213769976,0.7275799535307801,0.36061139432166545,5,7,12,5,5,7,9,5
405,James and the Giant Peach,1996,1990,Disney,Animation,0.34125281290804277,0.6341980442893607,0.16698588402689563,0.27326946858878276,0.4576360739724863,0.7904863036809953,0.3881264389689648,0.2673423100006764,2,5,10,5,0,2,6,4
406,Chicken Run,2000,2000,Aardman,Animation,0.26757869341746177,0.6318146754726084,0.0655145842070487,0.07375741450531326,0.4412028947018614,0.762777700066089,0.30419641632941385,0.13267929196152853,1,5,8,4,0,1,6,2
407,Wallace And Gromit In The Curse Of The Were-Rabbit,2005,2000,Aardman,Animation,0.39709012966595325,0.45606150463279116,0.21275877574337998,0.2721629653748662,0.49632012889429167,0.8233961709808083,0.4532575422120657,0.2066178772217076,3,6,12,5,0,3,7,3
408,Flushed Away,2006,2000,Aardman,Animation,0.383968173763961,0.5436628713440848,0.09076284787455535,0.16174091648321842,0.5274515004329536,0.8437201330561134,0.4417821873397312,0.2629262468910404,2,5,10,4,2,4,7,3
409,Arthur Christmas,2011,2010,Aardman,Animation,0.26830689930381607,0.6450489449278782,0.14604228265503205,0.18490322511117563,0.48312805464252434,0.8013544758960314,0.309894891489355,0.14645759642479078,1,5,10,4,0,2,6,2
410,Early Man,2018,2010,Aardman,Animation,0.24456045240000673,0.6557730810773221,0.12414095496503907,0.15723970860662773,0.4145661724631982,0.7291740789023643,0.2970348109984099,0.11497774174920986,1,5,10,4,0,0,6,1
411,The Pirates In An Adventure With Scientists,2012,2010,Aardman,Animation,0.34363865677300154,0.5382783052880931,0.1477678885715199,0.16081672415399106,0.4805730312375254,0.8095311141814685,0.3699974266079936,0.18213179905560983,2,5,10,4,0,3,6,2
412,Shaun the Sheep Movie,2015,2010,Aardman,Animation,0.47269118315727954,0.5699623597782586,0.11307997578022755,0.3347845450108716,0.6289577627184877,0.8623364481639781,0.4427507032197897,0.4370815206712412,4,5,10,5,4,4,7,6
413,A Shaun the Sheep Movie Farmageddon,2019,2010,Aardman,Animation,0.0,1.0,0.9313791733622332,0.9186437922853535,0.0,0.0,0.0,0.0,-2,9,14,9,0,-22,4,0
414,Surf's Up,2007,2000,Sony,Animation,0.22889455979941045,0.7216758881589942,0.0926165848452093,0.0865035791162948,0.4035997545616934,0.7442213205266149,0.2858984357286646,0.14762770031124658,1,5,10,4,0,1,6,2
415,Open Season,2006,2000,Sony,Animation,0.2127506420275609,0.7276615578167434,0.10706582222673144,0.11969301945093813,0.39661415030780683,0.7260596361468806,0.231561473661258,0.12171923026336268,1,5,10,4,0,0,5,1
416,Cloudy With A Chance Of Meatballs,2009,2000,Sony,Animation,0.3177713542611508,0.5591952394508999,0.15219989065748085,0.1550123391832572,0.49470224484590897,0.8123735015371959,0.3894095369109527,0.15940210667474497,2,5,10,4,0,3,6,2
417,Cloudy with a Chance of Meatballs 2,2013,2010,Sony,Animation,0.2836632990642586,0.6099166828990401,0.1631681477729926,0.16641775006595905,0.4978535856661404,0.8090196479512978,0.35673016806529245,0.1446757244041859,1,5,10,4,0,3,6,2
418,Smurfs The Lost Village,2017,2010,Sony,Animation,0.26498426008790843,0.6499411163374997,0.1405128203992011,0.16097345474725633,0.4309657597015985,0.7623245714196888,0.30224053873560996,0.14464514238461915,1,5,10,4,0,1,6,2
419,The Pirates-Band of Misfits,2012,2010,Sony,Animation,0.3603952492840423,0.49245296868306965,0.1391199478315608,0.16906267468366232,0.5008725246793778,0.8210755117556656,0.3841073423960082,0.17013167991471265,2,6,10,4,0,3,6,2
420,The Smurfs,2011,2010,Sony,Animation,0.2865588391293839,0.5975555889119555,0.11683833033743851,0.12212322045035484,0.43469397179892627,0.7585664469333845,0.31817745588193946,0.13476673706944609,1,5,10,4,0,1,6,2
421,The Emoji Movie,2017,2010,Sony,Animation,0.26929066670734614,0.6427150455008817,0.11362807400074348,0.11397054072022916,0.41419599861013673,0.7503119451221102,0.3202727809292444,0.14689724438981022,1,5,10,4,0,1,6,2
422,Hotel Transylvania 2,2015,2010,Sony,Animation,0.28284997881417784,0.6070459016953555,0.12763656947210678,0.15083032569635713,0.4217608569663515,0.7505529749154389,0.29938936815956174,0.13553395615263206,1,5,10,4,0,1,6,2
423,Arthur Christmas,2011,2010,Sony,Animation,0.26830689930381607,0.6450489449278782,0.14604228265503205,0.18490322511117563,0.48312805464252434,0.8013544758960314,0.309894891489355,0.14645759642479078,1,5,10,4,0,2,6,2
424,Angry Birds 2,2019,2010,Sony,Animation,0.283377156568835,0.6095854429088057,0.11028674314680864,0.13972030774297084,0.4215976069419157,0.7523564499291546,0.30072574616956094,0.1388519096731532,1,5,10,4,0,1,6,2
425,Peter Rabbit,2018,2010,Sony,Animation,0.29911097615036264,0.6166130736064028,0.13838138226533925,0.1493686640900025,0.4147629817277344,0.7601709060654223,0.361283302091468,0.1773481420540244,2,5,10,4,0,1,6,2
426,The Star,2017,2010,Sony,Animation,0.24500690846370066,0.6866303983821282,0.06046367555037957,0.06998075835111262,0.4025239127865968,0.7411781670247521,0.2765506276011317,0.14219978073109762,1,5,8,4,0,1,6,2
427,SpiderMan Into the Spider-Verse,2018,2010,Sony,Animation,0.296773600927977,0.6648198394781635,0.2856010855637853,0.31312271440135875,0.34880965910556044,0.7154204514463224,0.36193989856464637,0.21739110846889345,1,5,13,5,0,0,6,3
428,Goosebumps Haunted Halloween,2018,2010,Sony,Animation,0.28011294884541976,0.6137530076916184,0.14219682449690474,0.1599542055768891,0.4004333603943717,0.7357386971399349,0.3103747154491474,0.13794758782146505,1,5,10,4,0,1,6,2
429,Hotel Transylvania 3 Summer Vacation,2018,2010,Sony,Animation,0.31652635086670866,0.5575908219124535,0.12041406368400887,0.12411090257215807,0.4377313395628545,0.768780216553992,0.3872429417601192,0.1556108431068013,2,5,10,4,0,1,6,2
430,The Smurfs 2,2013,2010,Sony,Animation,0.22419063066746373,0.7280936015122808,0.0741504188005665,0.0627658555083368,0.36440649880405657,0.7143491908877909,0.29501007322961625,0.14626302067343488,1,5,8,4,0,0,6,2
431,Hotel Transylvania,2012,2010,Sony,Animation,0.2736337403646292,0.6328619128513777,0.12025446025264475,0.1036200806267008,0.4125120925069386,0.7482445711102734,0.31495157256361417,0.14479830273685435,1,5,10,4,0,1,6,2
432,Goosebumps,2015,2010,Sony,Animation,0.2314083719604156,0.6895588323735344,0.11173709073236315,0.10695094158187146,0.39651838025586605,0.7235049197792156,0.2810341344297649,0.12222080293928302,1,5,10,4,0,0,6,1
